Datetime,Ontario_Demand,pca2,pca1,Weekday_Friday,Weekday_Monday,Weekday_Saturday,Weekday_Sunday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday
2016-01-01 0:00,14023,0.3950167585758599,0.5923818903613091,1,0,0,0,0,0,0
2016-01-01 1:00,13417,0.4235311048458853,0.5980220467879436,1,0,0,0,0,0,0
2016-01-01 2:00,12968,0.3700555242200591,0.6019438721638801,1,0,0,0,0,0,0
2016-01-01 3:00,13092.7,0.3670155744594706,0.6044280485547331,1,0,0,0,0,0,0
2016-01-01 4:00,13217.4,0.36397562469888284,0.6069122249455859,1,0,0,0,0,0,0
2016-01-01 5:00,13342.1,0.36093567493829504,0.6093964013364387,1,0,0,0,0,0,0
2016-01-01 6:00,13466.8,0.3578957251777073,0.6118805777272915,1,0,0,0,0,0,0
2016-01-01 7:00,13591.5,0.3548557754171196,0.6143647541181444,1,0,0,0,0,0,0
2016-01-01 8:00,13716.2,0.35181582565653186,0.6168489305089971,1,0,0,0,0,0,0
2016-01-01 9:00,13840.9,0.34877587589594417,0.619333107,1,0,0,0,0,0,0
2016-01-01 10:00,13965.6,0.3457359261353563,0.621817283,1,0,0,0,0,0,0
2016-01-01 11:00,14090.3,0.34269597637476856,0.6243014596815557,1,0,0,0,0,0,0
2016-01-01 12:00,14215,0.3396560266141809,0.6267856360724084,1,0,0,0,0,0,0
2016-01-01 13:00,14443,0.24752427212115383,0.629143745,1,0,0,0,0,0,0
2016-01-01 14:00,14733,0.3014139975066592,0.6423200299426362,1,0,0,0,0,0,0
2016-01-01 15:00,14907,0.4041678055457759,0.6354144794114394,1,0,0,0,0,0,0
2016-01-01 16:00,14981,0.43352026839334223,0.6336043607429931,1,0,0,0,0,0,0
2016-01-01 17:00,15763,0.41696104106319304,0.6502580559061205,1,0,0,0,0,0,0
2016-01-01 18:00,16979,0.42214971716938615,0.6515522803621085,1,0,0,0,0,0,0
2016-01-01 19:00,16859,0.38848263324383614,0.6452604890720086,1,0,0,0,0,0,0
2016-01-01 20:00,16552,0.38571192893088996,0.6446271043913884,1,0,0,0,0,0,0
2016-01-01 21:00,16165,0.37732910480352577,0.6512049757188677,1,0,0,0,0,0,0
2016-01-01 22:00,15701,0.3972219531349386,0.646304395,1,0,0,0,0,0,0
2016-01-01 23:00,14866,0.40757603990872016,0.6462390519293559,1,0,0,0,0,0,0
2016-01-02 0:00,14164,0.4137140207537635,0.6516095259793215,0,0,1,0,0,0,0
